date,aaba,aal,aapl,adbe,akam,alxn,amat,amzn,atvi,avgo,bidu,cmcsa,csco,ctxs,ea,fb,fox,goog,intc,khc,mar,msft,nflx,pypl,trip,tsla,wba,nasdaq
2018-01-29,79.339996,52.68,167.960007,198.229996,67.25,126.790001,55.330002,1417.680054,72.449997,245.470001,253.729996,41.98,42.849998,93.68,117.650002,185.979996,38.139999,1175.579956,49.98,78.419998,147.990005,93.919998,284.589996,84.309998,36.330002,349.529999,80.269997,7466.509766
2018-01-30,78.269997,52.59,166.970001,196.899994,66.559998,122.360001,53.380001,1437.819946,71.610001,240.979996,244.070007,42.34,42.25,92.690002,118.699997,187.119995,37.880001,1163.689941,48.790001,78.5,147.270004,92.739998,278.799988,83.779999,34.900002,345.820007,76.129997,7402.47998
2018-01-31,79.879997,54.32,167.429993,199.759995,66.989998,119.32,53.630001,1450.890015,74.129997,248.029999,246.919998,42.529999,41.540001,92.760002,126.959999,186.889999,36.490002,1169.939941,48.139999,78.389999,147.339996,95.010002,270.299988,85.32,34.669998,354.309998,75.260002,7411.47998
2018-02-01,76.010002,53.880001,167.779999,199.380005,67.559998,118.089996,53.279999,1390,73.349998,238.789993,240.529999,41.889999,41.700001,93.43,128.179993,193.089996,36.709999,1167.699951,47.650002,78.57,147.520004,94.260002,265.070007,78.400002,34.619999,349.25,76.059998,7385.859863
2018-02-02,74.400002,52.099998,160.5,195.639999,65.720001,116.150002,50.68,1429.949951,71.419998,235.479996,233.169998,41.110001,40.93,92.190002,124.529999,190.279999,36.220001,1111.900024,46.150002,77.190002,141.169998,91.779999,267.429993,76.57,34.349998,343.75,73.559998,7240.950195
2018-02-05,72.510002,49.759998,156.490005,190.270004,62.810001,112.720001,48.310001,1390,67.980003,228.100006,225.320007,39.200001,38.779999,89.07,121.639999,181.259995,35.560001,1055.800049,44.52,74.260002,136.339996,88,254.259995,74.705002,35.619999,333.130005,70.43,6967.529785
2018-02-06,73.529999,51.18,163.029999,194.470001,63.669998,114.910004,50.25,1442.839966,69.699997,240.380005,228.770004,39.669998,40.169998,89.120003,123.129997,185.309998,36.419998,1080.599976,44.91,74.309998,140.029999,91.330002,265.720001,75.68,40.84,333.970001,71.790001,7115.879883
2018-02-07,72.160004,51.400002,159.539993,192.339996,64.480003,117.150002,48.689999,1416.780029,69.459999,237.380005,222.5,40.150002,40.34,87.599998,123.050003,180.179993,35.700001,1048.579956,45.200001,73.550003,139.639999,89.610001,264.559998,75.589996,41.049999,345,71.529999,7051.97998
2018-02-08,69.150002,48.599998,155.149994,185.160004,62.490002,108.470001,45.75,1350.5,65.830002,229.570007,212.070007,38.189999,38.77,84.529999,116.540001,171.580002,34.09,1001.52002,42.75,71.580002,133.880005,85.010002,250.100006,72.32,40.049999,315.230011,68.220001,6777.160156
2018-02-09,70.480003,48.360001,156.410004,187.990005,64.129997,108.599998,48.080002,1339.599976,67.080002,235.5,215.669998,38.57,39.529999,85.75,120.639999,176.110001,35.189999,1037.780029,43.950001,71.379997,136.289993,88.18,249.470001,74.75,38.310001,310.420013,68.459999,6874.490234
