id,producto,categoria,precio descuento,precio,porcentaje descuento,calificacion,total calificaciones,review
B08QSC1XY8,Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 Plus Note 10 9 8 A20e A40 A50 A70 (2M Grey),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,389,1099,0.65,4.3,974,Great Cable Charging Speeds Could Be BetterGoodA good cable.One of the best type c cableWorks as intended.A good buy. The extra length helps a lot.GoodOk
B008FWZGSG,Samsung Original Type C to C Cable - 3.28 Feet (1 Meter) White,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,599,599,0,4.3,355,GoodGenuine productNot first charge this cabilNice cable but known durabilityGot a used type c to c cable and the xable was damagedThe product is Genuine and GoodAbdul kadirGood
B0B4HJNPV4,pTron Solero T351 3.5Amps Fast Charging Type-C to Type-C PD Data & Charging USB Cable Made in India 480Mbps Data Sync Durable 1 Meter Long Cable for Type-C Smartphones Tablets & Laptops (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199,999,0.8,3.9,1075,The metal pin is losing it's strengthSahi h bs 44 rupe ki and dilivery charge 40Good Charging cableGood sturdy micro usb cable with good charging speedsCheapest micro USB cable in the marketboat is better than thisI bought this for 199rs best charging cable for all mobilesGood
B08Y1SJVV5,pTron Solero MB301 3A Micro USB Data & Charging Cable Made in India 480Mbps Data Sync Strong & Durable 1.5-Meter Nylon Braided USB Cable for Micro USB Devices - (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,99,666.66,0.85,3.9,24871,It's pretty goodAverage qualityvery good and useful usb cableGood USB cable. My experience was very good it is long lastingGoodNice product and useful-Sturdy but does not support 33w charging
B07XLCFSSN,Amazonbasics Nylon Braided Usb-C To Lightning Cable Fast Charging Mfi Certified Smartphone Iphone Charger (6-Foot Dark Grey),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,899,1900,0.53,4.4,13552,GoodWorth to buyGreat value for priceGood productNice product.Reliable and worth it!Much more sturdy and durable than Apple cableGood
B09RZS1NQT,Sounce 65W OnePlus Dash Warp Charge Cable 6.5A Type-C to USB C PD Data Sync Fast Charging Cable Compatible with One Plus 8T/ 9/ 9R/ 9 pro/ 9RT/ 10R/ Nord & for All Type C Devices – Red 1 Meter,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199,999,0.8,4,576,Worth it!Good oneRobust and effective.GoodGoodIt's a good product under 199 rupees It's neatly packed and has good quality builtNice productWorth the price
B0B3MMYHYW,OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pro (Black),Electronics|HomeTheaterTV&Video|Televisions|SmartTelevisions,32999,45999,0.28,4.2,7298,Decent product. Value for money.Value for moneyImprovements NeededEverything thing good except the installation experienceOverall taking all aspects TV is good within the price pointTv installation servicesOne among the good TVs in the market.Picture
B09C6HWG18,Duracell Type C To Type C 5A (100W) Braided Sync & Fast Charging Cable 3.9 Feet (1.2M). USB C to C Cable Supports PD & QC 3.0 Charging 5 GBPS Data Transmission – Black,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,970,1999,0.51,4.2,462,Product is as expectedCable has problem with samsung galaxy s8 ultra tabletQuality and service is good.It's perfect definitely what i neededWorth buying this cableJust awesome 👌fast charge sturdy build quality absolute value for money product 2yrs warranty just go for itGood
B00NH11KIK,AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer Printer- 6 Feet (1.8 Meters) Black,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,209,695,0.7,4.5,107687,Functionality as describedWorkingGreat USB in budgetGoodGoodIt just worksWorks with my Casio ct-x700 wellStill working after 3 months
B09JPC82QC,Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black),Electronics|HomeTheaterTV&Video|Televisions|SmartTelevisions,19999,34999,0.43,4.3,27151,DETAILED REVIEW after 3 WEEKS of Usage !!!Priceworthy.It's a good productGoodVivid picture quality is stunningSUPER DEALValue for moneyVery nice
B07JW1Y6XV,Wayona Nylon Braided 3A Lightning to USB A Syncing and Fast Charging Data Cable for iPhone Ipad (3 FT Pack of 1 Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399,1099,0.64,4.2,24269,SatisfiedCharging is really fastValue for moneyProduct reviewGood qualityGood productGood ProductAs of now seems good
B07KRCW6LZ,TP-Link Nano AC600 USB Wi-Fi Adapter(Archer T2U Nano)- 2.4G/5G Dual Band Wireless Network Adapter for PC Desktop Laptop Mini Travel Size Supports Windows 1110 8.1 8 7 XP/Mac OS 10.9-10.15,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,999,1599,0.38,4.3,12093,Dual BandwidthIt's goodSimple and effectiveEasy plug and playOnly 200mbps supportGreat Device for Old LaptopsGood device but be careful for a defective one.Excellent Speeds and Coverage!
B09NJN8L25,FLiX (Beetel USB to Micro USB PVC Data Sync & 2A Fast Charging Cable Made in India 480Mbps Data Sync Solid Cable 1 Meter Long USB Cable for Micro USB Devices (White)(XCD-M11),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,59,199,0.7,4,9378,Worked on iPhone 7 and didn’t work on XRGood oneDull Physical LooksJust Buy itGo for itAbout the productGet charging cable at the priceWorking well.
B07XJYYH7L,Wecool Nylon Braided Multifunction Fast Charging Cable For Android Smartphone Ios And Type C Usb Devices 3 In 1 Charging Cable 3A (3 Feet) (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,333,999,0.67,3.3,9792,Its slow in chargingOk productLooks good but charges slowvery slow charing.Poor quality iPhone part will last for two months only other two are okChargerProduct okSlow charging
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,507,1208,0.58,4.1,8131,good tool to use forBrand is always goodOverall good and a better experienceIt is useful to me.Works well with cpplus dvrGoodIts not plug an play u need to install the driver and will support till 2.4 Ghz not above thatSurveillance Camera In My House
B014I8SSD0,Amazon Basics High-Speed HDMI Cable 6 Feet - Supports Ethernet 3D 4K videoBlack,Electronics|HomeTheaterTV&Video|Accessories|Cables|HDMICables,309,475,0.35,4.4,426973,It's quite good and value for moneyWorks wellHdmi cableValue for moneyAll goodGets the job doneDelivery was goodThis one was my need to purchase
B09L8DSSFH,7SEVEN® Compatible for Samsung Smart 4K Ultra HD TV Monitor Remote Control Replacement of Original Samsung TV Remote for LED OLED UHD QLED and Suitable for 6 7 8 Series Samsung TV with Hot Keys BN59-01259E,Electronics|HomeTheaterTV&Video|Accessories|RemoteControls,399,999,0.6,3.6,493,Overall GoodWorks well. Will comment on durability after using it for a few months.Nice productChannel button doesn't workCompatible with every smart tvfunctionality at a budgetNumber keys not workingIt's good to go ahead with this for Samsung 6 series
